,Make,Model,Variant,Ex_Showroom_Price
865,Lamborghini,Huracan,Avio,35150732
866,Lamborghini,Huracan,Performante,37614126
867,Lamborghini,Huracan,Lp 580-2 Spyder,35535000
868,Lamborghini,Huracan,Lp 610-4 Spyder,40742932
869,Lamborghini,Huracan,Evo,37300000
870,Lamborghini,Huracan,Evo Spyder,41000000
871,Lamborghini,Huracan,Evo Rwd,32200000
872,Ferrari,488 Gtb,Std,36761413
873,Ferrari,488 Gtb,Spider,39319552
874,Ferrari,Gtc4 Lusso,V8 T,42000000
875,Ferrari,Gtc4 Lusso,V12,52000000
876,Lamborghini,Aventador,Lp 700-4,47893943
877,Lamborghini,Aventador,Lp700-4 Roadster,53210327
878,Lamborghini,Aventador,S,47467700
879,Rolls-Royce,Dawn,Convertible,59216193
880,Rolls-Royce,Drophead Coupe,Phantom,83755383
881,Maruti Suzuki,Omni,5 Str Bs-Iv,282778
882,Maruti Suzuki,Omni,E 8 Str Bs-Iv,284485
883,Datsun ,Go+,D,412292
884,Datsun ,Go+,T,552656
885,Datsun ,Go+,T (O),574448
886,Datsun ,Go+,A (O),555196
887,Datsun ,Go+,A,500575
888,Datsun ,Go+,T Vdc,593361
889,Datsun ,Go+,T (O) Vdc,615153
890,Datsun ,Go+,T Cvt,658361
891,Datsun ,Go+,T (O) Cvt,680153
892,Fiat,Punto Evo Pure,1.2L Fire Dynamic,482330
893,Fiat,Punto Evo Pure,1.3,575947
894,Ford,Figo,Ambiente 1.2 Ti-Vct,523000
895,Ford,Figo,Ambiente 1.5 Tdci,623000
896,Ford,Figo,Titanium 1.2 Ti-Vct,599900
897,Ford,Figo,Titanium1.5 Tdci,699900
898,Ford,Figo,Titanium Blu 1.2 Ti-Vct,664900
899,Ford,Figo,Titanium Blu 1.5 Tdci,764900
900,Maruti Suzuki,Baleno,1.3 Delta,746621
901,Maruti Suzuki,Baleno,1.3 Alpha,868221
902,Maruti Suzuki,Baleno,1.3 Sigma,668611
903,Maruti Suzuki,Baleno,1.3 Zeta,807921
904,Maruti Suzuki,Baleno,1.2 Alpha,758212
905,Maruti Suzuki,Baleno,1.2 Alpha Cvt,890212
906,Maruti Suzuki,Baleno,1.2 Delta,636612
907,Maruti Suzuki,Baleno,1.2 Delta Cvt,768612
908,Maruti Suzuki,Baleno,1.2 Sigma,558602
909,Maruti Suzuki,Baleno,1.2 Zeta,697912
910,Maruti Suzuki,Baleno,1.2 Delta Dualjet,733412
911,Maruti Suzuki,Baleno,1.2 Zeta Dualjet,789912
912,Maruti Suzuki,Baleno,1.2 Zeta Cvt,829912
913,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,586428
914,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz,620637
915,Hyundai,Grand I10,1.2 Kappa Vtvt Magna At,652328
916,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz At,705538
917,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz Dual Tone,640537
918,Hyundai,Grand I10,1.2 Kappa Vtvt Magna Cng,653452
919,Fiat,Linea Classic,1.3 Multijet,751203
920,Fiat,Linea Classic,1.4,646336
921,Fiat,Linea Classic,Plus 1.3 Multijet,808558
922,Nissan,Sunny,Xe Petrol,707025
923,Nissan,Sunny,Xl Petrol,836461
924,Nissan,Sunny,Xl Diesel,912534
925,Nissan,Sunny,Xv Diesel,993997
926,Nissan,Sunny,Xe Diesel,860997
927,Nissan,Sunny,Xv Cvt,993997
928,Nissan,Sunny,Special Edition Diesel,877285
929,Maruti Suzuki,Ertiga,Lxi,759000
930,Maruti Suzuki,Ertiga,Zxi,917000
931,Maruti Suzuki,Ertiga,Vxi At,936000
932,Maruti Suzuki,Ertiga,Zxi Plus,971000
933,Maruti Suzuki,Ertiga,Vxi,834000
934,Maruti Suzuki,Ertiga,Zxi At,1013000
935,Maruti Suzuki,Ertiga,1.5L Vdi,986689
936,Maruti Suzuki,Ertiga,1.5L Zdi,1069689
937,Maruti Suzuki,Ertiga,1.5L Zdi Plus,1120689
938,Maruti Suzuki,Ertiga,Vxi Cng (Cng +,887689
939,Maruti Suzuki,Baleno Rs,Rs 1.0,788913
940,Honda,Wr-V,Vx Diesel,1035000
941,Honda,Wr-V,Vx Petrol,925000
942,Honda,Wr-V,S Diesel,925000
943,Honda,Wr-V,S Petrol,815000
944,Honda,Wr-V,Edge Plus Edition Diesel,916050
945,Honda,Wr-V,Edge Plus Edition Petrol,808050
946,Honda,Wr-V,Exclusive Edition Diesel,1048050
947,Honda,Wr-V,Exclusive Edition Petrol,935050
948,Honda,Wr-V,V Diesel,995000
949,Mahindra,Tuv300,T4 Plus,854328
950,Mahindra,Tuv300,T6 Plus,914328
951,Mahindra,Tuv300,T8,976592
952,Mahindra,Tuv300,T10,999614
953,Mahindra,Tuv300,T10 (O),1031943
954,Mahindra,Tuv300,T10 Dual Tone,1022930
955,Mahindra,Tuv300,T10 (O) Dual Tone,1055259
956,Maruti Suzuki,S-Cross,1.3L Sigma,880689
957,Maruti Suzuki,S-Cross,1.3L Delta,992689
958,Maruti Suzuki,S-Cross,1.3L Zeta,1043689
959,Maruti Suzuki,S-Cross,1.3L Alpha,1143689
960,Renault,Captur,Rxe Petrol,949999
961,Renault,Captur,Rxe Diesel,1049999
962,Renault,Captur,Platine Diesel Dual Tone,1299999
963,Renault,Captur,Platine Petrol Dual Tone,1199999
964,Mahindra,Xylo,D2 Bs-Iv,963037
965,Mahindra,Xylo,D4 Bs-Iv,1004487
966,Mahindra,Xylo,H4 Bs-Iv,1031951
967,Mahindra,Xylo,H4 Abs Bs-Iv,1066139
968,Mahindra,Xylo,H8 Abs Airbags Bs-Iv,1228335
969,Kia,Seltos,Hte 1.5,989000
970,Kia,Seltos,Htk 1.5,1029000
971,Kia,Seltos,Htk Plus 1.5,1149000
972,Kia,Seltos,Htx 1.5,1309000
973,Kia,Seltos,Htx Cvt 1.5,1409000
974,Kia,Seltos,Hte 1.5 Diesel,1034000
975,Kia,Seltos,Htk 1.5 Diesel,1154000
976,Kia,Seltos,Htk Plus 1.5 Diesel,1254000
977,Kia,Seltos,Htk Plus At 1.5 Diesel,1354000
978,Kia,Seltos,Htx Plus 1.5 Diesel,1534000
979,Kia,Seltos,Htx Plus At 1.5 Diesel,1634000
980,Kia,Seltos,Gtk 1.4,1379000
981,Kia,Seltos,Gtx 1.4,1529000
982,Kia,Seltos,Gtx At 1.4,1629000
983,Kia,Seltos,Gtx Plus 1.4,1629000
984,Kia,Seltos,Htx 1.5 Diesel,1414000
985,Nissan,Terrano,Xe D 85,999900
986,Nissan,Terrano,Xv D Premium 110  Amt,1464900
987,Nissan,Terrano,Xl (P),999900
988,Nissan,Terrano,Xl D(O),1235700
989,Nissan,Terrano,Xv D Premium 110 ,1419900
990,Nissan,Terrano,Sport Edition,1235700
991,Tata,Safari Storme,2.2 Lx 4X2,1109005
992,Tata,Safari Storme,2.2 Ex 4X2,1335158
993,Tata,Safari Storme,2.2 Vx 4X2 Varicor 400,1479574
994,Tata,Safari Storme,2.2 Vx 4X4 Varicor 400,1643829
995,Mg,Hector,1.5L Style,1248000
996,Mg,Hector,2.0L Style,1348000
997,Mg,Hector,2.0L Super,1448000
998,Mg,Hector,2.0L Smart,1588000
999,Mg,Hector,2.0L Sharp,1728000
1000,Mg,Hector,1.5L Super,1328000
1001,Mg,Hector,1.5L Super Hybrid,1388000
1002,Mg,Hector,1.5L Sharp Hybrid,1628000
1003,Mg,Hector,1.5L Smart Hybrid,1498000
1004,Mg,Hector,1.5L Smart Dct,1568000
1005,Mg,Hector,1.5L Sharp Dct,1718000
1006,Tata,Nexon Ev,Xm,1399000
1007,Tata,Nexon Ev,Xz Plus,1499000
1008,Tata,Nexon Ev,Xz Plus Lux,1599000
1009,Hyundai,Elantra,S,1589000
1010,Hyundai,Elantra,Sx,1849000
1011,Hyundai,Elantra,Sx At,1949000
1012,Hyundai,Elantra,Sx(O) At,2039000
1013,Hyundai,Tucson,2Wd Mt Diesel,2079717
1014,Hyundai,Tucson,2Wd Mt Petrol,1876656
1015,Hyundai,Tucson,2Wd At Gl Diesel,2364354
1016,Hyundai,Tucson,2Wd At Gl Petrol,2187384
1017,Hyundai,Tucson,4Wd At Gls Diesel,2697417
1018,Hyundai,Tucson,2Wd At Gls Petrol,2373522
1019,Hyundai,Tucson,2Wd At Gl(O) Petrol,2246749
1020,Hyundai,Tucson,2Wd At Gl(O) Diesel,2423720
1021,Volkswagen,Passat,2.0 Tdi Comfortline,3021500
1022,Volkswagen,Passat,2.0 Tdi Highline,3321500
1023,Volkswagen,Passat,2.0 Tdi Comfortline Connect,2599000
1024,Volkswagen,Passat,2.0 Tdi Highline Connect,2899000
1025,Mercedes-Benz ,A-Class,180,2785288
1026,Mercedes-Benz ,A-Class,200D,2886871
1027,Volvo,V40 Cross Country,D3,3283000
1028,Volvo,V40 Cross Country,T4,2962000
1029,Mini,Countryman,Cooper S,3490000
1030,Mini,Countryman,Cooper Sd,3740000
1031,Mini,Countryman,Cooper S Jcw Inspired,4140000
1032,Mini,Countryman,Black Edition,4240000
1033,Mercedes-Benz ,C-Class,C 220D Prime,4020000
1034,Mercedes-Benz ,C-Class,C 220D Progressive,4670000
1035,Mercedes-Benz ,C-Class,C 300D Amg Line,4974750
1036,Mercedes-Benz ,C-Class,C 43 Amg,7500000
1037,Mercedes-Benz ,C-Class,C 200 Prime,4090000
1038,Mercedes-Benz ,C-Class,C 200 Progressive,4654000
1039,Toyota,Prius,Z8,4509000
1040,Lexus,Es,300H,5695000
1041,Lexus,Nx 300H,F-Sport,6060000
1042,Lexus,Nx 300H,Luxury,5990000
1043,Jaguar,F-Pace,Prestige,6463780
1044,Jaguar,F-Pace,Prestige Petrol,6422809
1045,Volvo,V90 Cross Country,D5 Inscription,6531000
1046,Audi,A5 Cabriolet,2.0 Tdi,6948200
1047,Mercedes-Benz ,Gle,300D 4Matic,7370000
1048,Mercedes-Benz ,Gle,400D 4Matic Hip Hop Edition,12500000
1049,Mercedes-Benz ,Cls,300D,8470000
1050,Bmw,X7,Xdrive 40I,10490000
1051,Bmw,X7,Xdrive30D Dpe Signature,10250000
1052,Bmw,M4,Coupe,13590000
1053,Porsche,911,Carrera S,17420000
1054,Porsche,911,Carrera S Cabriolet,18844000
1055,Nissan,Gtr,3.8 V6,21240272
1056,Aston Martin,Vantage,Coupe,29500000
1057,Aston Martin,Rapide,Luxe,38845823
1058,Ferrari,812 Superfast,Superfast,52000000
1059,Maruti Suzuki,Alto 800 Tour,H1,354235
1060,Maruti Suzuki,Alto 800 Tour,H1 (O),356559
1061,Hyundai,Grand I10 Nios,Magna 1.2 Crdi,675090
1062,Hyundai,Grand I10 Nios,Era 1.2 Vtvt,504990
1063,Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,589610
1064,Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,642610
1065,Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,643350
1066,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,703350
1067,Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,673350
1068,Hyundai,Grand I10 Nios,Asta 1.2 Vtvt,718950
1069,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Crdi,790350
1070,Hyundai,Grand I10 Nios,Asta 1.2 Crdi,804450
1071,Hyundai,Xcent,S 1.2,643769
1072,Hyundai,Xcent,S At 1.2,733734
1073,Hyundai,Xcent,Sx 1.2,705546
1074,Hyundai,Xcent,Sx 1.2 (O),782346
1075,Hyundai,Xcent,S 1.2 Crdi,742033
1076,Hyundai,Xcent,E,581078
1077,Hyundai,Xcent,Sx 1.2 Crdi,798558
1078,Hyundai,Xcent,Sx 1.2 Crdi (O),875358
1079,Hyundai,Xcent,E Crdi,673261
1080,Nissan,Micra,Xl (O) Cvt,662880
1081,Nissan,Micra,Xv Cvt,781686
1082,Nissan,Micra,Xld (O),743504
1083,Nissan,Micra,Xvd,812964
1084,Mahindra,Bolero,Zlx,942263
1085,Mahindra,Bolero,Slx,917055
1086,Mahindra,Bolero,Sle,860720
1087,Mahindra,Bolero,Ex,815883
1088,Mahindra,Bolero,Ex Non Ac,773678
1089,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,1102689
1090,Maruti Suzuki,Ciaz,1.3L Sigma Smart Hybrid,919689
1091,Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,980689
1092,Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,1062689
1093,Maruti Suzuki,Ciaz,1.5L Sigma Smart Hybrid,819689
1094,Maruti Suzuki,Ciaz,1.5L Delta Smart Hybrid,881689
1095,Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,958689
1096,Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,997689
1097,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,980689
1098,Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,1058688
1099,Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,1098689
1100,Maruti Suzuki,Ciaz,1.5L Alpha,1138189
1101,Maruti Suzuki,Ciaz,1.5L Delta,997689
1102,Maruti Suzuki,Ciaz,1.5L Zeta,1109189
1103,Skoda,Rapid,1.6 Mpi Ambition,998599
1104,Skoda,Rapid,1.5 Tdi Cr Active,1006139
1105,Skoda,Rapid,1.6 Mpi Active,881916
1106,Skoda,Rapid,1.5 Tdi Cr Ambition,1129599
1107,Skoda,Rapid,1.5 Tdi Cr Ambition At,1249599
1108,Skoda,Rapid,1.6 Mpi Style At,1243599
1109,Skoda,Rapid,1.5 Tdi Cr Style At,1399599
1110,Skoda,Rapid,1.5 Tdi Cr Style,1273599
1111,Skoda,Rapid,1.6 Mpi Style,1115599
1112,Skoda,Rapid,1.6 Mpi Ambition At,999599
1113,Skoda,Rapid,Onyx Mt Petrol,975599
1114,Skoda,Rapid,Onyx At Petrol,1099599
1115,Skoda,Rapid,Onyx Mt Diesel,1158599
1116,Skoda,Rapid,Onyx At Diesel,1273599
1117,Fiat,Abarth Punto,1.4 T-Jet,980970
1118,Hyundai,Creta,1.4 Crdi E Plus,999990
1119,Hyundai,Creta,1.6 Vtvt E Plus,999990
1120,Hyundai,Creta,1.6 Vtvt Sx,1232534
1121,Hyundai,Creta,1.6 Vtvt Sx (O),1394437
1122,Hyundai,Creta,1.6 Vtvt Sx At,1377363
1123,Hyundai,Creta,1.6 Vtvt Sx Dual Tone,1287041
1124,Hyundai,Creta,1.4 Crdi S,1197919
1125,Hyundai,Creta,1.6 Crdi Sx,1366797
1126,Hyundai,Creta,1.6 Crdi Sx (O),1543564
1127,Hyundai,Creta,1.6 Crdi Sx At,1527395
1128,Hyundai,Creta,1.6 Crdi Sx Dual Tone,1421208
1129,Hyundai,Creta,1.6 Crdi S At,1336033
1130,Hyundai,Creta,1.6 Vtvt Sx (O) Executive,1422937
1131,Hyundai,Creta,1.6 Crdi Sx (O) Executive,1572064
1132,Hyundai,Creta,1.4 Crdi Ex,1107167
1133,Hyundai,Creta,1.6 Vtvt Ex,1092192
1134,Hyundai,Creta,Sports Edition Petrol,1279983
1135,Hyundai,Creta,Sports Edition Diesel,1414247
1136,Tata,Harrier,Revotorq Xe,1345363
1137,Tata,Harrier,Revotorq Xm,1471368
1138,Tata,Harrier,Revotorq Xt,1591368
1139,Tata,Harrier,Revotorq Xz,1721368
1140,Tata,Harrier,Revotorq Xz Dual Tone,1732231
1141,Tata,Harrier,Revotorq Dark Edition,1730755
1142,Isuzu,Dmax V-Cross,Standard,1654783
1143,Isuzu,Dmax V-Cross,High Z,1806813
1144,Isuzu,Dmax V-Cross,Z Prestige,1999000
1145,Mitsubishi,Outlander,2.4L Outlander,2693000
1146,Mercedes-Benz ,Gla-Class,200 Sport,3438000
1147,Mercedes-Benz ,Gla-Class,200 D Style,3233000
1148,Mercedes-Benz ,Gla-Class,200 D Sport,3564000
1149,Mercedes-Benz ,Gla-Class,45 Amg 4Matic,7784944
1150,Mercedes-Benz ,Gla-Class,220 D 4Matic,3864000
1151,Mercedes-Benz ,Gla-Class,45 Aero Edition,8067000
1152,Honda,Accord Hybrid,2.0 At,4321237
1153,Bmw,5-Series,520D Luxury Line,5930000
1154,Bmw,5-Series,530D M Sport,6680000
1155,Bmw,5-Series,530I M Sport,5980000
1156,Bmw,6-Series,630D Gt Luxury Line,6890000
1157,Bmw,6-Series,630D Gt M Sport,7450000
1158,Bmw,6-Series,630I Gt Luxury Line,6440000
1159,Bmw,6-Series,620D Gt Luxury Line,6440000
1160,Porsche,Macan,S,8503000
1161,Porsche,Macan,Base,6998000
1162,Jaguar,F-Type,5.0 Convertible R,23659454
1163,Jaguar,F-Type,5.0 Coupe R,22155390
1164,Jaguar,F-Type,Svr Coupe,26501830
1165,Jaguar,F-Type,Svr Convertible,28004965
1166,Jaguar,F-Type,2.0L Coupe,9092578
1167,Jaguar,F-Type,2.0L Convertible,10144987
1168,Jaguar,F-Type,2.0 Convertible R Dynamic,10419200
1169,Jaguar,F-Type,2.0 Coupe R Dynamic,9366433
1170,Bmw,M5,Competition,15490000
1171,Lexus,Lx 570,V8,23290000
1172,Ferrari,458 Spider,V8,43367500
1173,Maruti Suzuki R,Wagon,Vxi,479000
1174,Maruti Suzuki R,Wagon,Vxi Ags,526000
1175,Maruti Suzuki R,Wagon,1.2L Zxi,548000
1176,Maruti Suzuki R,Wagon,Lxi,434000
1177,Maruti Suzuki R,Wagon,1.2L Vxi,513501
1178,Maruti Suzuki R,Wagon,1.2L Vxi Ags,560500
1179,Maruti Suzuki R,Wagon,1.2L Zxi Ags,594800
1180,Maruti Suzuki R,Wagon,Lxi (O),441000
1181,Maruti Suzuki R,Wagon,Vxi (O),486001
1182,Maruti Suzuki R,Wagon,1.2L Vxi (O),520500
1183,Maruti Suzuki R,Wagon,1.2L Vxi Ags (O),567500
1184,Maruti Suzuki R,Wagon,Vxi Ags (O),533000
1185,Maruti Suzuki R,Wagon,Lxi Cng,500500
1186,Maruti Suzuki R,Wagon,Lxi (O) Cng,507500
1187,Tata,Tiago Nrg,1.2L Revotron,594993
1188,Tata,Tiago Nrg,1.05L Revotorq,689993
1189,Tata,Tiago Nrg,1.2L Revotron Amt,639993
1190,Mahindra,Nuvosport,N4,797802
1191,Mahindra,Nuvosport,N6,905642
1192,Mahindra,Nuvosport,N8,984818
1193,Mahindra,Nuvosport,N4 +,832415
1194,Mahindra,Nuvosport,N6 Amt,972359
1195,Mahindra,Nuvosport,N8 Amt,1048603
1196,Nissan,Kicks,Xl Petrol,955000
1197,Nissan,Kicks,Xv Petrol,1095000
1198,Nissan,Kicks,Xl Diesel,1109000
1199,Nissan,Kicks,Xv Diesel,1251000
1200,Nissan,Kicks,Xv Premium,1369000
1201,Nissan,Kicks,Xv Premium (O),1465000
1202,Nissan,Kicks,Xv Premium (O) Dual Tone,1465000
1203,Nissan,Kicks,Xe Diesel,989000
1204,Tata,Winger,15S,1205000
1205,Hyundai,Kona Electric,Premium,2371858
1206,Toyota,Camry,Hybrid,3788000
1207,Audi,A5,Sportback,6061200
1208,Land Rover,Discovery,3.0 Hse Diesel,10205494
1209,Land Rover,Discovery,3.0 Se Diesel,9689321
1210,Land Rover,Discovery,3.0 Hse Petrol,8433741
1211,Land Rover,Discovery,3.0 Se Petrol,8077550
1212,Land Rover,Discovery,3.0 S Diesel,8877094
1213,Land Rover,Discovery,3.0 S Petrol,7693664
1214,Land Rover,Discovery,3.0 Hse Luxury Diesel,10861088
1215,Land Rover,Discovery,3.0 Hse Luxury Petrol,8937846
1216,Lexus,Ls 500H,Luxury,18221000
1217,Lexus,Ls 500H,Ultra Luxury,18736000
1218,Lexus,Ls 500H,Distinct,19371000
1219,Rolls-Royce ,Phantom,Sedan,95000000
1220,Rolls-Royce ,Phantom,Ewb,75400000
1221,Fiat,Punto Evo,Dynamic 1.2,535562
1222,Fiat,Punto Evo,Active Multijet 1.3,631292
1223,Fiat,Punto Evo,Dynamic Multijet 1.3,692655
1224,Fiat,Punto Evo,Emotion Multijet 1.3,747774
1225,Toyota,Yaris,J,940000
1226,Toyota,Yaris,G,1055000
1227,Toyota,Yaris,V,1174000
1228,Toyota,Yaris,Vx Cvt,1418000
1229,Toyota,Yaris,G Cvt,1175000
1230,Toyota,Yaris,J Cvt,1010000
1231,Toyota,Yaris,V Cvt,1294000
1232,Toyota,Yaris,Vx,1296000
1233,Toyota,Yaris,V (O),1197000
1234,Toyota,Yaris,J (O),876000
1235,Toyota,Yaris,G (O),974000
1236,Toyota,Yaris,J (O) Cvt,935000
1237,Toyota,Yaris,G (O) Cvt,1083000
1238,Toyota,Yaris,V (O) Cvt,1317000
1239,Skoda,Octavia,Ambition 1.4 Tsi,1599599
1240,Skoda,Octavia,Ambition 2.0 Tdi Cr,1799599
1241,Skoda,Octavia,Style 1.4 Tsi,1899599
1242,Skoda,Octavia,Style 1.8 Tsi At,2059599
1243,Skoda,Octavia,Style 2.0 Tdi Cr,2079599
1244,Skoda,Octavia,Style 2.0 Tdi Cr At,2299599
1245,Skoda,Octavia,L & K 1.8 Tsi At,2359599
1246,Skoda,Octavia,L & K 2.0 Tdi Cr At,2359599
1247,Skoda,Octavia,Corporate Edition 1.4 Tsi,1549000
1248,Skoda,Octavia,Corporate Edition 2.0 Tdi,1699000
1249,Skoda,Octavia,Onyx 1.8 Tsi Dsg,1999599
1250,Skoda,Octavia,Onyx 2.0 Tdi Dsg,2199599
1251,Mercedes-Benz ,Glc,200 Progressive,5275000
1252,Mercedes-Benz ,Glc,220D 4Matic Progressive,5775000
1253,Porsche,Cayenne Coupe,Base,13151000
1254,Porsche,Cayenne Coupe,Turbo,19763000
1255,Mahindra,Verito,1.5 D2,748370
1256,Mahindra,Verito,1.5 D4 Bs-Iv,772617
1257,Mahindra,Verito,1.5 D6 Bs-Iv,845154
1258,Mitsubishi,Pajero Sport,2.5 Mt,2903750
1259,Mitsubishi,Pajero Sport,2.5 At,2835500
1260,Mitsubishi,Pajero Sport,Limited Edition,2953240
1261,Mitsubishi,Pajero Sport,Select Plus Mt,2992800
1262,Mitsubishi,Pajero Sport,Select Plus At,2952500
1263,Bentley,Flying Spur,V8,34167064
1264,Bentley,Flying Spur,W12,39382083
1265,Honda,City,Sv Mt Petrol,991000
1266,Honda,City,V Mt Petrol,1065900
1267,Honda,City,Vx Mt Petrol,1182000
1268,Honda,City,Vx Cvt Petrol,1312000
1269,Honda,City,Sv Mt Diesel,1111000
1270,Honda,City,V Mt Diesel,1191000
1271,Honda,City,Vx Mt Diesel,1302000
1272,Honda,City,Zx Mt Diesel,1421000
1273,Honda,City,Zx Cvt Petrol,1431000
1274,Honda,City,V Cvt Petrol,1201000
1275,Mitsubishi,Montero,3.2 At,6862560
