STATE,STATE CODE,MAKE,MODEL,EV_VEHICLES,MILES/kWh,latitude,longitude
ALABAMA,AL,TESLA,MODEL 3,3553,4,32.318231,-86.902298
ALABAMA,AL,CHEVROLET,VOLT,1705,3.5,32.318231,-86.902298
ALABAMA,AL,TESLA,MODEL S,1606,4,32.318231,-86.902298
ALABAMA,AL,TESLA,MODEL Y,1268,4,32.318231,-86.902298
ALABAMA,AL,NISSAN,LEAF,963,3,32.318231,-86.902298
ALABAMA,AL,CHEVROLET,BOLT,701,3.5,32.318231,-86.902298
ALABAMA,AL,TESLA,MODEL X,673,4,32.318231,-86.902298
ALABAMA,AL,FORD,FUSION,669,3,32.318231,-86.902298
ALABAMA,AL,TOYOTA,PRIUS PRIME,652,2,32.318231,-86.902298
ALABAMA,AL,CHRYSLER,PACIFICA,543,3,32.318231,-86.902298
ALABAMA,AL,JEEP,WRANGLER,498,2,32.318231,-86.902298
ALABAMA,AL,BMW,I3,398,3.5,32.318231,-86.902298
ALABAMA,AL,FORD,C-MAX,398,3,32.318231,-86.902298
ALABAMA,AL,FORD,MUSTANG MACH-E,382,3,32.318231,-86.902298
ALABAMA,AL,BMW,X5,372,2,32.318231,-86.902298
ALABAMA,AL,BMW,330,264,2,32.318231,-86.902298
ALABAMA,AL,BMW,530,263,2,32.318231,-86.902298
ALABAMA,AL,HONDA,CLARITY,250,3.5,32.318231,-86.902298
ALABAMA,AL,VOLVO,XC90,231,2,32.318231,-86.902298
ALABAMA,AL,VOLKSWAGEN,ID4,197,3,32.318231,-86.902298
ALABAMA,AL,KIA,NIRO,167,3.5,32.318231,-86.902298
ALABAMA,AL,GEM,E825,164,3,32.318231,-86.902298
ALABAMA,AL,TOYOTA,RAV4,162,2,32.318231,-86.902298
ALABAMA,AL,TOYOTA,PRIUS PLUG-IN,155,2,32.318231,-86.902298
ALABAMA,AL,PORSCHE,TAYCAN,149,2,32.318231,-86.902298
ALABAMA,AL,AUDI,E-TRON,147,2,32.318231,-86.902298
ALABAMA,AL,GEM,E4 4-PASSENGER LOW SPEED VEHICLE,147,3,32.318231,-86.902298
ALABAMA,AL,VOLVO,XC60,129,2,32.318231,-86.902298
ALABAMA,AL,PORSCHE,CAYENNE,113,2,32.318231,-86.902298
ALABAMA,AL,BMW,I8,112,2,32.318231,-86.902298
ALABAMA,AL,MITSUBISHI,OUTLANDER,111,3.5,32.318231,-86.902298
ALABAMA,AL,AUDI,Q5 E,104,2.5,32.318231,-86.902298
ALABAMA,AL,LINCOLN,AVIATOR,91,3,32.318231,-86.902298
ALABAMA,AL,FIAT,500,82,3.5,32.318231,-86.902298
ALABAMA,AL,PORSCHE,PANAMERA,68,2,32.318231,-86.902298
ALABAMA,AL,GEM,E6 6-PASSENGER LOW SPEED VEHICLE,64,3,32.318231,-86.902298
ALABAMA,AL,VOLVO,XC40,64,2,32.318231,-86.902298
ALABAMA,AL,BMW,X3,63,2,32.318231,-86.902298
ALABAMA,AL,SMARTCAR,FORTWO,48,2.5,32.318231,-86.902298
ALABAMA,AL,AUDI,A3,48,2.5,32.318231,-86.902298
ALABAMA,AL,CADILLAC,ELR,48,3,32.318231,-86.902298
ALABAMA,AL,JAGUAR,I-PACE,48,2,32.318231,-86.902298
ALABAMA,AL,KIA,SORENTO,45,3.5,32.318231,-86.902298
ALABAMA,AL,MITSUBISHI,I-MIEV,44,3.5,32.318231,-86.902298
ALABAMA,AL,HYUNDAI,IONIQ,41,4,32.318231,-86.902298
ALABAMA,AL,MERCEDES-BENZ,GLC,35,2.5,32.318231,-86.902298
ALABAMA,AL,FORD,ESCAPE,30,3,32.318231,-86.902298
ALABAMA,AL,VOLKSWAGEN,GOLF,30,3,32.318231,-86.902298
ALABAMA,AL,VOLVO,S60,30,2,32.318231,-86.902298
ALABAMA,AL,FISKER,KARMA,28,3,32.318231,-86.902298
ALABAMA,AL,GEM,E2 2-PASSENGER LOW SPEED VEHICLE,27,3,32.318231,-86.902298
ALABAMA,AL,MINI,COUNTRYMAN,24,3,32.318231,-86.902298
ALABAMA,AL,HYUNDAI,KONA,23,3.5,32.318231,-86.902298
ALABAMA,AL,GEM,ES 2-PASSENGER LOW SPEED VEHICLE,22,3,32.318231,-86.902298
ALABAMA,AL,CHEVROLET,SPARK,21,3.5,32.318231,-86.902298
ALABAMA,AL,FORD,FOCUS,21,3,32.318231,-86.902298
ALABAMA,AL,TH!NK,NEIGHBOR,20,2,32.318231,-86.902298
ALABAMA,AL,VOLVO,S90,18,2,32.318231,-86.902298
ALABAMA,AL,POLESTAR,2,18,2.5,32.318231,-86.902298
ALABAMA,AL,KIA,SOUL EV,18,3.5,32.318231,-86.902298
ALABAMA,AL,BMW,740,17,2,32.318231,-86.902298
ALABAMA,AL,MERCEDES-BENZ,S-CLASS,17,2.5,32.318231,-86.902298
ALABAMA,AL,TESLA,ROADSTER,16,4,32.318231,-86.902298
ALABAMA,AL,GEM,EL XD 2-PASSENGER LOW SPEED VEHICLE,16,3,32.318231,-86.902298
ALABAMA,AL,AUDI,E-TRON GT,16,2,32.318231,-86.902298
ALABAMA,AL,MERCEDES-BENZ,B-CLASS,15,2.5,32.318231,-86.902298
ALABAMA,AL,HYUNDAI,SONATA,15,3.5,32.318231,-86.902298
ALABAMA,AL,MERCEDES-BENZ,GLE,13,2.5,32.318231,-86.902298
ALABAMA,AL,GEM,EL 2-PASSENGER LOW SPEED VEHICLE,12,3,32.318231,-86.902298
ALABAMA,AL,LAND ROVER,RANGE ROVER,12,2,32.318231,-86.902298
ALABAMA,AL,MERCEDES-BENZ,C-CLASS,12,2.5,32.318231,-86.902298
ALABAMA,AL,GEM,E6S 6-PASSENGER LOW SPEED VEHICLE,12,3,32.318231,-86.902298
ALABAMA,AL,AUDI,A7,9,2.5,32.318231,-86.902298
ALABAMA,AL,MINI,MINI COOPER,9,3,32.318231,-86.902298
ALABAMA,AL,GEM,E4S 4-PASSENGER LOW SPEED VEHICLE,9,3,32.318231,-86.902298
ALABAMA,AL,AUDI,A8,8,2.5,32.318231,-86.902298
ALABAMA,AL,CADILLAC,CT6,7,3,32.318231,-86.902298
ALABAMA,AL,HONDA,ACCORD,6,3.5,32.318231,-86.902298
ALABAMA,AL,LAND ROVER,RANGE ROVER SPORT,6,2,32.318231,-86.902298
ALABAMA,AL,WORKHORSE,W88,5,3,32.318231,-86.902298
ALABAMA,AL,LINCOLN,CORSAIR,5,3,32.318231,-86.902298
ALABAMA,AL,KARMA,REVERO,5,2.5,32.318231,-86.902298
ALABAMA,AL,SUBARU,CROSSTREK,4,3,32.318231,-86.902298
ALABAMA,AL,FORD,RANGER,3,3,32.318231,-86.902298
ALABAMA,AL,NEW FLYER,BUS,3,3.5,32.318231,-86.902298
ALABAMA,AL,BLUEBIRD,BUS,3,3.5,32.318231,-86.902298
ALABAMA,AL,VOLVO,V60,3,2,32.318231,-86.902298
ALABAMA,AL,BMW,745,3,2,32.318231,-86.902298
ALABAMA,AL,KIA,OPTIMA,2,3.5,32.318231,-86.902298
ALABAMA,AL,PORSCHE,918,2,2,32.318231,-86.902298
ALABAMA,AL,FORD,Th!nk,2,2,32.318231,-86.902298
ALABAMA,AL,PROTERRA,BUS,1,3.5,32.318231,-86.902298
ALABAMA,AL,SMITH ELECTRIC,D120,1,2,32.318231,-86.902298
ALASKA,AK,TESLA,MODEL 3,453,4,63.588753,-154.493062
ALASKA,AK,NISSAN,LEAF,422,3,63.588753,-154.493062
ALASKA,AK,CHEVROLET,VOLT,355,3.5,63.588753,-154.493062
ALASKA,AK,CHEVROLET,BOLT,312,3.5,63.588753,-154.493062
ALASKA,AK,TESLA,MODEL Y,242,4,63.588753,-154.493062
ALASKA,AK,TESLA,MODEL S,208,4,63.588753,-154.493062
ALASKA,AK,FORD,C-MAX,153,3,63.588753,-154.493062
ALASKA,AK,FORD,FUSION,150,3,63.588753,-154.493062
ALASKA,AK,TESLA,MODEL X,110,4,63.588753,-154.493062
ALASKA,AK,TOYOTA,PRIUS PRIME,95,2,63.588753,-154.493062
ALASKA,AK,AUDI,E-TRON,83,2,63.588753,-154.493062
ALASKA,AK,BMW,X5,79,2,63.588753,-154.493062
ALASKA,AK,JEEP,WRANGLER,78,2,63.588753,-154.493062
ALASKA,AK,FORD,MUSTANG MACH-E,65,3,63.588753,-154.493062
ALASKA,AK,KIA,SOUL EV,61,3.5,63.588753,-154.493062
ALASKA,AK,VOLVO,XC90,57,2,63.588753,-154.493062
ALASKA,AK,AUDI,Q5 E,53,2.5,63.588753,-154.493062
ALASKA,AK,BMW,I3,51,3.5,63.588753,-154.493062
ALASKA,AK,VOLVO,XC60,49,2,63.588753,-154.493062
ALASKA,AK,CHRYSLER,PACIFICA,47,3,63.588753,-154.493062
ALASKA,AK,KIA,NIRO,43,3.5,63.588753,-154.493062
ALASKA,AK,BMW,X3,42,2,63.588753,-154.493062
ALASKA,AK,TOYOTA,PRIUS PLUG-IN,35,2,63.588753,-154.493062
ALASKA,AK,AUDI,A3,34,2.5,63.588753,-154.493062
ALASKA,AK,HONDA,CLARITY,33,3.5,63.588753,-154.493062
ALASKA,AK,TOYOTA,RAV4,33,2,63.588753,-154.493062
ALASKA,AK,FIAT,500,32,3.5,63.588753,-154.493062
ALASKA,AK,BMW,530,31,2,63.588753,-154.493062
ALASKA,AK,MINI,COUNTRYMAN,31,3,63.588753,-154.493062
ALASKA,AK,PORSCHE,CAYENNE,27,2,63.588753,-154.493062
ALASKA,AK,VOLVO,XC40,27,2,63.588753,-154.493062
ALASKA,AK,FORD,FOCUS,23,3,63.588753,-154.493062
ALASKA,AK,BMW,I8,21,2,63.588753,-154.493062
ALASKA,AK,VOLKSWAGEN,GOLF,21,3,63.588753,-154.493062
ALASKA,AK,MERCEDES-BENZ,B-CLASS,12,2.5,63.588753,-154.493062
ALASKA,AK,TOYOTA,RAV4 EV,11,2,63.588753,-154.493062
ALASKA,AK,LINCOLN,AVIATOR,10,3,63.588753,-154.493062
ALASKA,AK,FERRARI,SF90 STRADALE,10,2,63.588753,-154.493062
ALASKA,AK,VOLVO,S60,9,2,63.588753,-154.493062
ALASKA,AK,SUBARU,CROSSTREK,9,3,63.588753,-154.493062
ALASKA,AK,GEM,E825,9,3,63.588753,-154.493062
ALASKA,AK,MITSUBISHI,OUTLANDER,8,3.5,63.588753,-154.493062
ALASKA,AK,CADILLAC,ELR,7,3,63.588753,-154.493062
ALASKA,AK,PORSCHE,TAYCAN,7,2,63.588753,-154.493062
ALASKA,AK,PORSCHE,PANAMERA,7,2,63.588753,-154.493062
ALASKA,AK,VOLVO,V60,6,2,63.588753,-154.493062
ALASKA,AK,HYUNDAI,IONIQ,6,4,63.588753,-154.493062
ALASKA,AK,LAND ROVER,RANGE ROVER,6,2,63.588753,-154.493062
ALASKA,AK,CHEVROLET,SPARK,6,3.5,63.588753,-154.493062
ALASKA,AK,VOLKSWAGEN,ID4,5,3,63.588753,-154.493062
ALASKA,AK,KIA,OPTIMA,5,3.5,63.588753,-154.493062
ALASKA,AK,SMARTCAR,FORTWO,5,2.5,63.588753,-154.493062
ALASKA,AK,BMW,330,4,2,63.588753,-154.493062
ALASKA,AK,MCLAREN,P1,4,2.5,63.588753,-154.493062
ALASKA,AK,HYUNDAI,KONA,4,3.5,63.588753,-154.493062
ALASKA,AK,PROTERRA,BUS,3,3.5,63.588753,-154.493062
ALASKA,AK,MINI,MINI COOPER,3,3,63.588753,-154.493062
ALASKA,AK,GEM,EL 2-PASSENGER LOW SPEED VEHICLE,3,3,63.588753,-154.493062
ALASKA,AK,MERCEDES-BENZ,GLC,3,2.5,63.588753,-154.493062
ALASKA,AK,AUDI,E-TRON GT,3,2,63.588753,-154.493062
ALASKA,AK,FORD,ESCAPE,3,3,63.588753,-154.493062
ALASKA,AK,FISKER,KARMA,3,3,63.588753,-154.493062
ALASKA,AK,VOLVO,S90,2,2,63.588753,-154.493062
ALASKA,AK,LAND ROVER,RANGE ROVER SPORT,2,2,63.588753,-154.493062
ALASKA,AK,DODGE,CARAVAN,1,3,63.588753,-154.493062
ALASKA,AK,GEM,EL XD 2-PASSENGER LOW SPEED VEHICLE,1,3,63.588753,-154.493062
ALASKA,AK,FREIGHTLINER,EB2,1,3,63.588753,-154.493062
ARIZONA,AZ,TESLA,MODEL 3,15928,4,34.048928,-111.093731
ARIZONA,AZ,TESLA,MODEL S,9135,4,34.048928,-111.093731
ARIZONA,AZ,NISSAN,LEAF,7770,3,34.048928,-111.093731
ARIZONA,AZ,CHEVROLET,VOLT,6634,3.5,34.048928,-111.093731
ARIZONA,AZ,TESLA,MODEL Y,4858,4,34.048928,-111.093731
ARIZONA,AZ,CHEVROLET,BOLT,4058,3.5,34.048928,-111.093731
ARIZONA,AZ,FORD,FUSION,3610,3,34.048928,-111.093731
ARIZONA,AZ,TOYOTA,PRIUS PRIME,3449,2,34.048928,-111.093731
ARIZONA,AZ,BMW,I3,3342,3.5,34.048928,-111.093731
ARIZONA,AZ,TESLA,MODEL X,3334,4,34.048928,-111.093731
ARIZONA,AZ,FORD,C-MAX,1923,3,34.048928,-111.093731
ARIZONA,AZ,CHRYSLER,PACIFICA,1787,3,34.048928,-111.093731
ARIZONA,AZ,TOYOTA,PRIUS PLUG-IN,1507,2,34.048928,-111.093731
ARIZONA,AZ,FORD,MUSTANG MACH-E,1398,3,34.048928,-111.093731
ARIZONA,AZ,FIAT,500,1378,3.5,34.048928,-111.093731
ARIZONA,AZ,GEM,E825,1333,3,34.048928,-111.093731
ARIZONA,AZ,KIA,NIRO,1267,3.5,34.048928,-111.093731
ARIZONA,AZ,JEEP,WRANGLER,1204,2,34.048928,-111.093731
ARIZONA,AZ,BMW,X5,1198,2,34.048928,-111.093731
ARIZONA,AZ,AUDI,E-TRON,1188,2,34.048928,-111.093731
ARIZONA,AZ,VOLVO,XC90,965,2,34.048928,-111.093731
ARIZONA,AZ,BMW,530,935,2,34.048928,-111.093731
ARIZONA,AZ,VOLKSWAGEN,ID4,877,3,34.048928,-111.093731
ARIZONA,AZ,BMW,330,833,2,34.048928,-111.093731
ARIZONA,AZ,HONDA,CLARITY,788,3.5,34.048928,-111.093731
ARIZONA,AZ,VOLKSWAGEN,GOLF,764,3,34.048928,-111.093731
ARIZONA,AZ,VOLVO,XC60,692,2,34.048928,-111.093731
ARIZONA,AZ,PORSCHE,TAYCAN,692,2,34.048928,-111.093731
ARIZONA,AZ,CHEVROLET,SPARK,595,3.5,34.048928,-111.093731
ARIZONA,AZ,FORD,FOCUS,578,3,34.048928,-111.093731
ARIZONA,AZ,KIA,SOUL EV,534,3.5,34.048928,-111.093731
ARIZONA,AZ,AUDI,Q5 E,512,2.5,34.048928,-111.093731
ARIZONA,AZ,AUDI,A3,483,2.5,34.048928,-111.093731
ARIZONA,AZ,SMARTCAR,FORTWO,434,2.5,34.048928,-111.093731
ARIZONA,AZ,BMW,I8,420,2,34.048928,-111.093731
ARIZONA,AZ,TOYOTA,RAV4,407,2,34.048928,-111.093731
ARIZONA,AZ,PORSCHE,CAYENNE,382,2,34.048928,-111.093731
ARIZONA,AZ,MITSUBISHI,OUTLANDER,374,3.5,34.048928,-111.093731
ARIZONA,AZ,PORSCHE,PANAMERA,325,2,34.048928,-111.093731
ARIZONA,AZ,VOLVO,XC40,315,2,34.048928,-111.093731
ARIZONA,AZ,GEM,E4 4-PASSENGER LOW SPEED VEHICLE,300,3,34.048928,-111.093731
ARIZONA,AZ,LINCOLN,AVIATOR,298,3,34.048928,-111.093731
ARIZONA,AZ,JAGUAR,I-PACE,280,2,34.048928,-111.093731
ARIZONA,AZ,HYUNDAI,IONIQ,278,4,34.048928,-111.093731
ARIZONA,AZ,HYUNDAI,SONATA,243,3.5,34.048928,-111.093731
ARIZONA,AZ,GEM,E2 2-PASSENGER LOW SPEED VEHICLE,237,3,34.048928,-111.093731
ARIZONA,AZ,BMW,X3,236,2,34.048928,-111.093731
ARIZONA,AZ,CADILLAC,ELR,232,3,34.048928,-111.093731
ARIZONA,AZ,TH!NK,NEIGHBOR,212,2,34.048928,-111.093731
ARIZONA,AZ,KIA,SORENTO,209,3.5,34.048928,-111.093731
ARIZONA,AZ,VOLVO,S60,207,2,34.048928,-111.093731
ARIZONA,AZ,MERCEDES-BENZ,B-CLASS,193,2.5,34.048928,-111.093731
ARIZONA,AZ,KIA,OPTIMA,187,3.5,34.048928,-111.093731
ARIZONA,AZ,MINI,MINI COOPER,181,3,34.048928,-111.093731
ARIZONA,AZ,POLESTAR,2,156,2.5,34.048928,-111.093731
ARIZONA,AZ,HYUNDAI,KONA,152,3.5,34.048928,-111.093731
ARIZONA,AZ,TOYOTA,RAV4 EV,121,2,34.048928,-111.093731
ARIZONA,AZ,FISKER,KARMA,118,3,34.048928,-111.093731
ARIZONA,AZ,MITSUBISHI,I-MIEV,104,3.5,34.048928,-111.093731
ARIZONA,AZ,MERCEDES-BENZ,GLC,91,2.5,34.048928,-111.093731
ARIZONA,AZ,GEM,E6 6-PASSENGER LOW SPEED VEHICLE,91,3,34.048928,-111.093731
ARIZONA,AZ,TESLA,ROADSTER,87,4,34.048928,-111.093731
ARIZONA,AZ,MINI,COUNTRYMAN,85,3,34.048928,-111.093731
ARIZONA,AZ,FORD,ESCAPE,77,3,34.048928,-111.093731
ARIZONA,AZ,MERCEDES-BENZ,S-CLASS,75,2.5,34.048928,-111.093731
ARIZONA,AZ,MERCEDES-BENZ,C-CLASS,70,2.5,34.048928,-111.093731
ARIZONA,AZ,GEM,ES 2-PASSENGER LOW SPEED VEHICLE,68,3,34.048928,-111.093731
ARIZONA,AZ,LAND ROVER,RANGE ROVER SPORT,68,2,34.048928,-111.093731
ARIZONA,AZ,VOLVO,S90,60,2,34.048928,-111.093731
ARIZONA,AZ,MERCEDES-BENZ,GLE,59,2.5,34.048928,-111.093731
ARIZONA,AZ,SUBARU,CROSSTREK,59,3,34.048928,-111.093731
ARIZONA,AZ,HONDA,ACCORD,54,3.5,34.048928,-111.093731
ARIZONA,AZ,BMW,740,50,2,34.048928,-111.093731
ARIZONA,AZ,GEM,EL XD 2-PASSENGER LOW SPEED VEHICLE,46,3,34.048928,-111.093731
ARIZONA,AZ,CADILLAC,CT6,42,3,34.048928,-111.093731
ARIZONA,AZ,AUDI,E-TRON GT,39,2,34.048928,-111.093731
ARIZONA,AZ,LINCOLN,CORSAIR,37,3,34.048928,-111.093731
ARIZONA,AZ,BMW,745,37,2,34.048928,-111.093731
ARIZONA,AZ,GEM,EL 2-PASSENGER LOW SPEED VEHICLE,33,3,34.048928,-111.093731
ARIZONA,AZ,AUDI,RS E-TRON GT,33,2,34.048928,-111.093731
ARIZONA,AZ,AUDI,A7,27,2.5,34.048928,-111.093731
ARIZONA,AZ,KARMA,REVERO,20,2.5,34.048928,-111.093731
ARIZONA,AZ,LAND ROVER,RANGE ROVER,19,2,34.048928,-111.093731
ARIZONA,AZ,PORSCHE,918,17,2,34.048928,-111.093731
ARIZONA,AZ,HYUNDAI,TUCSON,16,3.5,34.048928,-111.093731
ARIZONA,AZ,FERRARI,SF90 STRADALE,16,2,34.048928,-111.093731
ARIZONA,AZ,VOLVO,V60,13,2,34.048928,-111.093731
ARIZONA,AZ,AZURE,TRANSIT CONNECT,12,2,34.048928,-111.093731
ARIZONA,AZ,GEM,E4S 4-PASSENGER LOW SPEED VEHICLE,11,3,34.048928,-111.093731
ARIZONA,AZ,AUDI,A8,11,2.5,34.048928,-111.093731
ARIZONA,AZ,FORD,RANGER,9,3,34.048928,-111.093731
ARIZONA,AZ,KARMA,GS-6,8,2.5,34.048928,-111.093731
ARIZONA,AZ,HYUNDAI,SANTA FE,7,3.5,34.048928,-111.093731
ARIZONA,AZ,BENTLEY,BENTAYGA,7,3,34.048928,-111.093731
ARIZONA,AZ,WORKHORSE,W88,7,3,34.048928,-111.093731
ARIZONA,AZ,GEM,E6S 6-PASSENGER LOW SPEED VEHICLE,6,3,34.048928,-111.093731
ARIZONA,AZ,BMW,ACTIVEHYBRID 5,6,2,34.048928,-111.093731
ARIZONA,AZ,BLUEBIRD,BUS,6,3.5,34.048928,-111.093731
ARIZONA,AZ,SMITH ELECTRIC,D100,4,2,34.048928,-111.093731
ARIZONA,AZ,FORD,TRANSIT VAN,3,3,34.048928,-111.093731
ARKANSAS,AR,TESLA,MODEL 3,1850,4,35.20105,-91.831833
ARKANSAS,AR,CHEVROLET,VOLT,1098,3.5,35.20105,-91.831833
ARKANSAS,AR,TESLA,MODEL S,690,4,35.20105,-91.831833
ARKANSAS,AR,TESLA,MODEL Y,689,4,35.20105,-91.831833
ARKANSAS,AR,TOYOTA,PRIUS PRIME,504,2,35.20105,-91.831833
ARKANSAS,AR,NISSAN,LEAF,440,3,35.20105,-91.831833
ARKANSAS,AR,CHRYSLER,PACIFICA,420,3,35.20105,-91.831833
ARKANSAS,AR,CHEVROLET,BOLT,386,3.5,35.20105,-91.831833
ARKANSAS,AR,TESLA,MODEL X,362,4,35.20105,-91.831833
ARKANSAS,AR,FORD,FUSION,340,3,35.20105,-91.831833
ARKANSAS,AR,JEEP,WRANGLER,328,2,35.20105,-91.831833
ARKANSAS,AR,FORD,C-MAX,273,3,35.20105,-91.831833
ARKANSAS,AR,FORD,MUSTANG MACH-E,224,3,35.20105,-91.831833
ARKANSAS,AR,BMW,X5,165,2,35.20105,-91.831833
ARKANSAS,AR,HONDA,CLARITY,157,3.5,35.20105,-91.831833
ARKANSAS,AR,BMW,I3,139,3.5,35.20105,-91.831833
ARKANSAS,AR,VOLVO,XC90,124,2,35.20105,-91.831833
ARKANSAS,AR,BMW,X3,106,2,35.20105,-91.831833
ARKANSAS,AR,KIA,NIRO,102,3.5,35.20105,-91.831833
ARKANSAS,AR,BMW,530,91,2,35.20105,-91.831833
ARKANSAS,AR,BMW,330,88,2,35.20105,-91.831833
ARKANSAS,AR,VOLKSWAGEN,ID4,87,3,35.20105,-91.831833
ARKANSAS,AR,TOYOTA,RAV4,77,2,35.20105,-91.831833
ARKANSAS,AR,LINCOLN,AVIATOR,64,3,35.20105,-91.831833
ARKANSAS,AR,PORSCHE,CAYENNE,56,2,35.20105,-91.831833
ARKANSAS,AR,TOYOTA,PRIUS PLUG-IN,52,2,35.20105,-91.831833
ARKANSAS,AR,FIAT,500,48,3.5,35.20105,-91.831833
ARKANSAS,AR,BMW,I8,47,2,35.20105,-91.831833
ARKANSAS,AR,VOLVO,XC60,46,2,35.20105,-91.831833
ARKANSAS,AR,GEM,E825,38,3,35.20105,-91.831833
ARKANSAS,AR,AUDI,E-TRON,38,2,35.20105,-91.831833
ARKANSAS,AR,MITSUBISHI,OUTLANDER,36,3.5,35.20105,-91.831833
ARKANSAS,AR,PORSCHE,TAYCAN,35,2,35.20105,-91.831833
ARKANSAS,AR,VOLVO,XC40,29,2,35.20105,-91.831833
ARKANSAS,AR,SMARTCAR,FORTWO,27,2.5,35.20105,-91.831833
ARKANSAS,AR,HYUNDAI,IONIQ,23,4,35.20105,-91.831833
ARKANSAS,AR,AUDI,Q5 E,23,2.5,35.20105,-91.831833
ARKANSAS,AR,CHEVROLET,SPARK,23,3.5,35.20105,-91.831833
ARKANSAS,AR,FORD,FOCUS,20,3,35.20105,-91.831833
ARKANSAS,AR,JAGUAR,I-PACE,20,2,35.20105,-91.831833
ARKANSAS,AR,VOLKSWAGEN,GOLF,20,3,35.20105,-91.831833
ARKANSAS,AR,GEM,E4 4-PASSENGER LOW SPEED VEHICLE,17,3,35.20105,-91.831833
ARKANSAS,AR,SUBARU,CROSSTREK,16,3,35.20105,-91.831833
ARKANSAS,AR,MINI,COUNTRYMAN,16,3,35.20105,-91.831833
ARKANSAS,AR,FISKER,KARMA,15,3,35.20105,-91.831833
ARKANSAS,AR,MERCEDES-BENZ,B-CLASS,15,2.5,35.20105,-91.831833
ARKANSAS,AR,MERCEDES-BENZ,GLC,15,2.5,35.20105,-91.831833
ARKANSAS,AR,GEM,E2 2-PASSENGER LOW SPEED VEHICLE,14,3,35.20105,-91.831833
ARKANSAS,AR,TOYOTA,RAV4 EV,14,2,35.20105,-91.831833
ARKANSAS,AR,AUDI,A3,13,2.5,35.20105,-91.831833
ARKANSAS,AR,PORSCHE,PANAMERA,11,2,35.20105,-91.831833
ARKANSAS,AR,KIA,SORENTO,11,3.5,35.20105,-91.831833
ARKANSAS,AR,FORD,Th!nk,10,2,35.20105,-91.831833
ARKANSAS,AR,KIA,OPTIMA,14,3.5,35.20105,-91.831833
ARKANSAS,AR,KIA,SOUL EV,10,3.5,35.20105,-91.831833
ARKANSAS,AR,GEM,E6 6-PASSENGER LOW SPEED VEHICLE,9,3,35.20105,-91.831833
ARKANSAS,AR,MITSUBISHI,I-MIEV,7,3.5,35.20105,-91.831833
ARKANSAS,AR,MERCEDES-BENZ,S-CLASS,7,2.5,35.20105,-91.831833
ARKANSAS,AR,AUDI,E-TRON GT,7,2,35.20105,-91.831833
ARKANSAS,AR,MERCEDES-BENZ,C-CLASS,7,2.5,35.20105,-91.831833
ARKANSAS,AR,CADILLAC,ELR,7,3,35.20105,-91.831833
ARKANSAS,AR,HYUNDAI,KONA,6,3.5,35.20105,-91.831833
ARKANSAS,AR,LAND ROVER,RANGE ROVER,6,2,35.20105,-91.831833
ARKANSAS,AR,VOLVO,S90,6,2,35.20105,-91.831833
ARKANSAS,AR,FORD,ESCAPE,6,3,35.20105,-91.831833
ARKANSAS,AR,HYUNDAI,SONATA,5,3.5,35.20105,-91.831833
ARKANSAS,AR,TH!NK,NEIGHBOR,4,2,35.20105,-91.831833
ARKANSAS,AR,GEM,EL XD 2-PASSENGER LOW SPEED VEHICLE,4,3,35.20105,-91.831833
ARKANSAS,AR,GEM,EL 2-PASSENGER LOW SPEED VEHICLE,4,3,35.20105,-91.831833
ARKANSAS,AR,VOLVO,S60,3,2,35.20105,-91.831833
ARKANSAS,AR,FORD,RANGER,3,3,35.20105,-91.831833
ARKANSAS,AR,BMW,740,3,2,35.20105,-91.831833
ARKANSAS,AR,BMW,745,2,2,35.20105,-91.831833
ARKANSAS,AR,MINI,MINI COOPER,2,3,35.20105,-91.831833
ARKANSAS,AR,HYUNDAI,TUCSON,2,3.5,35.20105,-91.831833
ARKANSAS,AR,CADILLAC,CT6,2,3,35.20105,-91.831833
ARKANSAS,AR,GEM,ES 2-PASSENGER LOW SPEED VEHICLE,1,3,35.20105,-91.831833
CALIFORNIA,CA,TESLA,MODEL 3,137973,4,36.778261,-119.417932
CALIFORNIA,CA,TESLA,MODEL S,75881,4,36.778261,-119.417932
CALIFORNIA,CA,NISSAN,LEAF,72444,3,36.778261,-119.417932
CALIFORNIA,CA,CHEVROLET,VOLT,65761,3.5,36.778261,-119.417932
CALIFORNIA,CA,TOYOTA,PRIUS PRIME,58043,2,36.778261,-119.417932
CALIFORNIA,CA,TESLA,MODEL Y,47762,4,36.778261,-119.417932
CALIFORNIA,CA,CHEVROLET,BOLT,46176,3.5,36.778261,-119.417932
CALIFORNIA,CA,FORD,FUSION,44811,3,36.778261,-119.417932
CALIFORNIA,CA,BMW,I3,42207,3.5,36.778261,-119.417932
CALIFORNIA,CA,TOYOTA,PRIUS PLUG-IN,37000,2,36.778261,-119.417932
CALIFORNIA,CA,TESLA,MODEL X,35862,4,36.778261,-119.417932
CALIFORNIA,CA,HONDA,CLARITY,33160,3.5,36.778261,-119.417932
CALIFORNIA,CA,FORD,C-MAX,25838,3,36.778261,-119.417932
CALIFORNIA,CA,KIA,NIRO,23662,3.5,36.778261,-119.417932
CALIFORNIA,CA,BMW,530,22694,2,36.778261,-119.417932
CALIFORNIA,CA,FIAT,500,19869,3.5,36.778261,-119.417932
CALIFORNIA,CA,VOLKSWAGEN,GOLF,19743,3,36.778261,-119.417932
